Brand Name,Website,Instagram Handle,Instagram URL,Contact Email,Founder/Owner,Founder Contact/Profile,UK Location,Category,Instagram Followers,Ecommerce Website,Existing Marketplaces,Lead Score,Priority,Contact Page,Source URLs,Notes,Outreach Note,Last Verified
Drama Call,Not found,Not found,Not found,Not found,Charlie Bowes (also published as Charlie Bows),Not found,Manchester,"Streetwear — graphic-led, drop model",Not found,Not found,Stocked by Crepslocker and Bene Culture; adidas and Manchester United collaborations,57,MEDIUM PRIORITY,Not found,https://hypebeast.com/2023/6/from-manneh-to-the-world-drama-call-is-the-next-big-thing-in-uk-streetwear | https://www.manchestersfinest.com/shopping-in-manchester/drama-call-and-adidas-are-dropping-another-manchester-designed-superstar-ii/,"Founded 2017. Website NOT recorded: two candidate domains surfaced (dramascall.com and dramacall.shop, the latter advertising 'up to 40% off', a common counterfeit-site pattern) and neither could be confirmed as official. Founder is documented as avoiding interviews and marketing via guerrilla drops, so expect a low response rate. The adidas/Man Utd tie-ups also mean distribution is already broad — a weaker fit than the Manchester peer set.","The strongest Manchester independent by profile, but the adidas and Manchester United collaborations mean distribution is already broad and the founder is documented as avoiding press — expect the lowest response rate on this list, and confirm the official domain before contacting.",2026-07-29
Gramm,Not found,Not found,Not found,Not found,AK Williams,Not found,Manchester (own factory in Cheetham Hill),"Streetwear — neon palettes, bold graphics, Manchester-referencing",Not found,Not found,Stocked by SEVENSTORE (retailer),57,MEDIUM PRIORITY,Not found,https://themanc.com/style/gramm-the-streetwear-brand-keeping-it-hot-in-the-rainy-city/ | https://www.sevenstore.com/editorial/gramm-studio-community-is-everything/,"Launched 2015 by self-taught designer and Habitat MCR resident DJ AK Williams. Owns its factory in Cheetham Hill and cuts, stitches and finishes in-house — genuinely rare, and a strong differentiator for marketplace storytelling. Has collaborated with the Emirates FA Cup. Official domain not confirmed in the sources reviewed.","Owns its factory in Cheetham Hill and cuts, stitches and finishes every piece in-house — a genuine made-in-Manchester production story that would anchor UnveiledThreads's UK-manufacturing credentials. Confirm the official domain first.",2026-07-29
Black Label Clothing,https://www.blacklabelclothing.co.uk/,@blacklabelofficialclothing,https://www.instagram.com/blacklabelofficialclothing/,Not found,Cameron Coid,Not found,Leeds,"Unisex streetwear — premium men's essentials, handcrafted in Leeds",Not found,Yes,Not found,56,MEDIUM PRIORITY,https://www.blacklabelclothing.co.uk/pages/contact-us,https://www.blacklabelclothing.co.uk/ | https://www.yorkshireeveningpost.co.uk/news/people/leeds-entrepreneur-launches-black-label-clothing-streetwear-brand-2606048,"Founder Cameron Coid acts as both creative and operations director; brand slogan 'Be Your Own Label'. Small, owner-run and Leeds-manufactured — a strong profile fit. Follower count and posting cadence unverified.","Handcrafted in Leeds and run single-handedly by Cameron Coid as both creative and operations director. A one-person operation gains the most from a marketplace that handles discovery, which is the angle to lead on.",2026-07-29
Doomsday Co,https://doomsdayco.com/,@doomsdayco,https://www.instagram.com/doomsdayco/,jamie@doomsdayco.com,"Corey Smith-Wilkes (founder); now owned by Jamie Norton, High Dive Apparel",Not found,"Bridgend, South Wales",Streetwear — traditional tattoo-art graphics,Not found,Yes,Not found,56,MEDIUM PRIORITY,https://doomsdayco.com/pages/about-us,https://doomsdayco.com/pages/about-us | https://www.instagram.com/doomsdayco/ | https://www.images-magazine.com/new-era-for-doomsdayco/,"Started 2012. DOOMSDAY CO LIMITED entered administration in May 2023; the brand was relaunched later that year after High Dive Apparel bought its assets from the administrators. Verify current trading health and order fulfilment before onboarding — the insolvency history is a real commercial risk, not a presentational one.","Thirteen years of tattoo-art brand equity in Bridgend and a named owner contact after the High Dive Apparel acquisition. The hook is real, but confirm trading stability first — the company went through administration in 2023.",2026-07-29
Take Risks (Take Risks & Prosper),https://www.takerisksandprosperuk.com/,Not found,Not found,Not found,Armani Duke (trades as Armani TakeRisks),https://www.instagram.com/armani_takerisks/,Birmingham (Bullring & Grand Central),"Streetwear — reflective jackets, paint-splatter apparel, tracksuits, caps",Not found,Yes,Not found,56,MEDIUM PRIORITY,Not found,https://www.takerisksandprosperuk.com/pages/about-us | https://www.complex.com/music/a/emmanuel-onapa/armani-takerisks-interview | https://www.instagram.com/armani_takerisks/ | https://www.7igures.com/blogs/news/take-risks-store-a-risk-that-paid-off,"Founded 2016; opened a Bullring store in October 2022. Brand Instagram handle not confirmed — only the founder's personal account was verified. No published business email found in the sources reviewed, which is why this scores below its apparent quality: the gap is our research, not the brand. Re-run enrichment against the site to close it.","Went from a 2016 Birmingham start-up to a Bullring & Grand Central store in six years and is still owner-run. With no business email published, approach Armani Duke directly via @armani_takerisks rather than the site.",2026-07-29
UN:IK Clothing,https://www.unikclothing.co.uk/,Not found,Not found,hello@unikclothing.co.uk,Not found,https://uk.linkedin.com/company/unikclothingltd,"Shrewsbury, Shropshire",Streetwear — own label plus a platform for independent designers,Not found,Yes,Not found,56,MEDIUM PRIORITY,Not found,https://www.unikclothing.co.uk/ | https://www.unikclothing.com/en-us/pages/about | https://uk.linkedin.com/company/unikclothingltd,"Started 2014 in a bedroom in Shrewsbury. Explicitly positions itself as a platform that develops and retails other independent designers — that makes it as much a potential partner or channel as a supplier, and worth approaching on that basis. Verified handles are @unikclothingltd on X, TikTok and Facebook; Instagram not confirmed. Founder name not published in sources reviewed.","Already operates as a platform that develops and retails other independent designers, so the conversation is partnership as much as supply — their model and UnveiledThreads's overlap, and hello@unikclothing.co.uk is public.",2026-07-29
Bellisa X Clothing,https://bellisaxclothing.com/,Not found,Not found,Not found,Not found,Not found,Bristol,Casual streetwear and festival wear,Not found,Yes,Not found,51,LOW PRIORITY,Not found,https://bellisaxclothing.com/collections/bellisa-x-lucid,Described as a Creatives of Bristol collaboration between two designers; individual names not published in the sources reviewed. Small and early — verify current activity before approaching.,"A two-designer Bristol collaboration in festival-facing casualwear, which would widen UnveiledThreads beyond city streetwear. Confirm the brand is still actively trading before approaching.",2026-07-29
Chunk Clothing,https://chunkclothing.com/,Not found,Not found,Not found,Not found,Not found,London,Independent British streetwear — humour-led cult graphic prints,Not found,Yes,Not found,51,LOW PRIORITY,Not found,https://chunkclothing.com/pages/about-chunk | https://chunkclothing.com/,"Trading since 2001 and still self-describing as an independent British streetwear brand. Long-established rather than emerging, so the pitch is incremental distribution rather than launch support. Founder names not clearly published — an 'about' page references a colleague known as Colonel joining as second employee in 2001, which does not identify the founders.","Independent since 2001 with a recognisable humour-led cult-print niche. This is a stable catalogue addition rather than a growth bet — pitch incremental reach, not launch support.",2026-07-29
Flow Like Zen,https://flowlikezen.com/,Not found,Not found,Not found,Not found,Not found,Not found,"Premium oversized streetwear — graphic tees and hoodies, minimal design",Not found,Yes,Not found,51,LOW PRIORITY,Not found,https://flowlikezen.com/ | https://lux-life.digital/winners/flow-like-zen/,"Self-describes as an independent UK streetwear brand; won LUXlife's Best Urban Culture-Inspired Streetwear Company - UK in 2023, which is a paid-entry style award and weak evidence of scale. UK city not published. Publishes a blog, so the site is actively maintained.","Positions on minimal premium oversized basics and maintains an active blog, so the site is being worked on. The aesthetic complements the graphic-led brands here — but verify the UK base and city first, since neither is published.",2026-07-29
Hidden Hideout,https://hiddenhideout.co.uk/,Not found,Not found,Not found,Not found,Not found,Glasgow,Premium Glaswegian streetwear,Not found,Yes,"Concession at Braehead Shopping Centre (physical retail, not a marketplace)",51,LOW PRIORITY,Not found,https://hiddenhideout.co.uk/pages/about-us | https://braehead.co.uk/stores/hidden-hideout/,"Launched 2023 by lifelong friends (names not published). Very early-stage and already holding retail space at Braehead — the profile of brand that gains most from marketplace distribution. A search summary suggested the handle @hiddenhideout_ but it could not be confirmed, so it is recorded as Not found rather than guessed.","Launched in 2023 and already holding a Braehead concession — early enough that marketplace reach genuinely changes its trajectory, with no existing distribution deals to negotiate around.",2026-07-29
Urban Pirate Apparel,https://urbanpirate.scot/,Not found,Not found,Not found,Not found,Not found,"East Glasgow, Scotland",Scotland-inspired graphic tees on vegan-friendly blanks; custom screen printing,Not found,Yes,Not found,51,LOW PRIORITY,Not found,https://urbanpirate.scot/,"Hand-printed, small-scale, strongly regional. Closer to a gift/tourist-facing range than fashion streetwear, so category fit for a streetwear marketplace is weaker than the independence credentials suggest — worth a look but not a priority approach.","Hand-prints in East Glasgow on vegan-friendly blanks, so the independent credentials are genuine — but the Scotland-souvenir angle sits outside the streetwear core, and category fit is the question to settle before spending outreach effort.",2026-07-29
Emello,Not found,Not found,Not found,Not found,Victoria Price and Ashley McPherson,Not found,London,"Womenswear — casual luxury, made in Europe",Not found,Not found,Not found,48,LOW PRIORITY,Not found,https://www.forbes.com/sites/joanneshurvell/2025/11/14/7-exciting-new-womenswear-brands-launching-in-london/,"Founded in London in 2025 — very early stage, which is the point: a brand at launch has no marketplace relationships to displace. Domain and Instagram not confirmed. Included as a womenswear counterweight to a streetwear-heavy list.","Launched in London in 2025 with European manufacturing, so it is still pre-distribution: UnveiledThreads could be its first retail channel rather than its fifth. Domain and handles still need confirming.",2026-07-29
Roamers & Seekers,Not found,Not found,Not found,Not found,Amanda Goss (former Superdry design manager),Not found,"Bristol (77 Park Street, BS1 5PF)","Contemporary menswear — clean urban design, British/Scandinavian influence",Not found,Not found,Wolf & Badger,45,LOW PRIORITY,Not found,https://www.drapersonline.com/news/former-superdry-design-manager-launches-menswear-brand | https://www.bristol247.com/lifestyle/fashion/roamers-seekers/ | https://www.wolfandbadger.com/us/designers/roamers-seekers/,"Founded 2014 by an ex-Superdry design manager. Already sells through Wolf & Badger, so there is a working marketplace precedent. Most coverage found is several years old and the official domain was not confirmed — check the brand is still actively trading before spending outreach effort.","Founded by a former Superdry design manager and already selling through Wolf & Badger, so marketplace mechanics need no explanation. Coverage is several years old — confirm it is still trading before investing effort.",2026-07-29
Far From Home,Not found,Not found,Not found,Not found,"Erike, Etiene and Cheila (siblings; surnames not published)",Not found,Manchester,"Streetwear — tracksuits, denim and silk",Not found,Not found,Not found,41,LOW PRIORITY,Not found,https://hypebeast.com/2022/6/far-from-home-introduction-feature,"Angola-born siblings who moved to Manchester via Portugal; brand launched 2020, profiled by Hypebeast in 2022. Website NOT confirmed: farfromhome.cc surfaced in search but appears to belong to a Danish cycling-apparel brand of the same name, so it was not recorded. Resolve the correct domain and Instagram before approaching — everything else about the profile fits well.","Three Angolan-Portuguese siblings building from Manchester with Hypebeast coverage already behind them — a distinctive founder story UnveiledThreads could lead a brand feature with, once the correct domain and Instagram are pinned down.",2026-07-29
No Emotions,Not found,Not found,Not found,Not found,Jemima May,Not found,London,"Womenswear — refined, versatile everyday pieces",Not found,Not found,Not found,41,LOW PRIORITY,Not found,https://retailboss.co/seven-new-womenswear-brands-setting-the-trend-london-2025/,London womenswear label founded by Jemima May. Early-stage and founder-led; domain and social handles not confirmed in the sources reviewed.,"Founder-led London womenswear from Jemima May — useful for balancing a streetwear-heavy roster with everyday womenswear, though the domain and social handles still need to be established.",2026-07-29
Heartless (Innocent Clothing),Not found,@itsallheartless,https://www.instagram.com/itsallheartless/,Not found,Not found,Not found,"Glasgow, Scotland",Alternative / gothic / emo-leaning womenswear and streetwear,Not found,Not found,"Blue Banana, Attitude Clothing, EMP, Impericon, Ro Rox, Four Leaf, Osiris Gothic and other alternative retailers",25,LOW PRIORITY,Not found,https://www.instagram.com/itsallheartless/ | https://www.innocentclothingltd.com/en-us/pages/landing,"Part of Innocent Clothing Ltd (Glasgow), alongside sister brand Poizen Industries. Wholesale-first: distribution is already very wide across alternative retailers, which is the profile the brief scores down. A sales@osirisclothing.co.uk address surfaced but appears to belong to a stockist rather than the brand, so it was not recorded. Listed for completeness; low fit.","Already stocked across Blue Banana, Attitude, EMP, Impericon, Ro Rox and more — the widest distribution on this list, which is exactly what the scoring penalises. Recorded for completeness so it is not rediscovered and re-researched later; deprioritise.",2026-07-29
